block_id,case_id,intersection_type
0,1142,overlap
1,1142,overlap
1,1603,overlap
2,295,overlap
2,1767,inside
3,363,overlap
4,645,overlap
5,799,overlap
6,1125,overlap
7,584,overlap
8,95,overlap
9,886,overlap
10,398,overlap
11,7,overlap
11,1650,overlap
12,1633,overlap
13,192,inside
13,1945,overlap
14,1525,inside
14,1601,overlap
15,325,overlap
16,836,overlap
16,917,overlap
16,1473,inside
17,103,overlap
18,1136,overlap
19,818,overlap
20,118,overlap
20,1450,overlap
21,965,overlap
22,1132,overlap
22,1999,overlap
23,167,overlap
23,1132,overlap
24,226,overlap
24,1258,overlap
25,1431,overlap
25,2037,overlap
26,278,overlap
27,1356,overlap
28,1089,overlap
29,338,overlap
29,748,overlap
30,412,overlap
31,412,overlap
31,1839,overlap
32,374,overlap
33,20,overlap
33,374,overlap
34,737,overlap
34,1169,overlap
35,737,overlap
35,1606,inside
36,407,overlap
36,1045,inside
37,407,overlap
37,1792,inside
38,730,overlap
39,533,overlap
40,143,overlap
40,1632,inside
40,1720,inside
41,143,overlap
41,1339,inside
41,1583,inside
42,28,overlap
43,28,overlap
43,479,inside
43,1514,overlap
43,1899,inside
44,161,overlap
45,1127,inside
45,1222,overlap
45,1227,overlap
46,732,overlap
46,1649,overlap
47,794,overlap
47,1649,overlap
48,30,inside
48,1621,overlap
49,98,overlap
50,700,overlap
50,1840,inside
51,762,overlap
52,141,overlap
52,510,overlap
53,1487,overlap
54,425,overlap
55,376,overlap
56,237,overlap
57,1429,overlap
58,298,inside
58,764,overlap
58,1569,inside
58,1696,inside
59,1308,overlap
59,1421,overlap
60,816,overlap
60,1171,overlap
61,393,overlap
62,624,overlap
62,1273,inside
62,1856,inside
62,1880,inside
63,624,overlap
63,1898,overlap
64,1519,overlap
64,1758,overlap
65,560,overlap
65,789,overlap
65,1831,inside
66,506,overlap
66,1311,overlap
67,499,overlap
67,1996,overlap
68,551,overlap
69,367,overlap
69,551,overlap
69,1912,inside
70,310,inside
70,1579,overlap
71,588,overlap
71,1392,overlap
72,147,overlap
73,214,overlap
73,266,overlap
74,819,overlap
75,920,overlap
75,1662,overlap
76,953,overlap
76,1614,overlap
77,697,overlap
77,1505,overlap
77,1801,inside
78,1201,overlap
79,866,overlap
79,1714,overlap
80,261,overlap
80,676,overlap
80,1566,inside
81,261,overlap
81,964,inside
81,1921,inside
82,796,overlap
83,796,overlap
83,1030,overlap
84,8,overlap
84,812,inside
84,902,overlap
84,1386,inside
85,125,overlap
85,902,overlap
86,1138,overlap
86,1731,overlap
87,89,overlap
87,1778,overlap
88,446,overlap
89,5,overlap
89,1180,overlap
90,68,overlap
90,1250,inside
91,250,overlap
91,1161,inside
92,783,overlap
92,1243,overlap
93,651,inside
94,382,overlap
95,686,inside
96,458,overlap
96,1002,overlap
97,844,overlap
97,1101,inside
97,2008,overlap
98,1232,overlap
99,508,overlap
100,639,overlap
101,565,overlap
102,281,overlap
102,1788,inside
103,159,inside
103,1904,overlap
104,302,overlap
104,970,overlap
104,1658,inside
105,35,overlap
105,1178,inside
105,1615,overlap
106,768,overlap
107,417,overlap
108,66,overlap
108,898,inside
108,1406,overlap
109,243,overlap
109,942,overlap
110,96,overlap
110,1057,inside
111,207,inside
112,229,overlap
112,1207,overlap
113,109,overlap
113,229,overlap
113,1413,inside
113,1974,inside
114,746,overlap
114,1334,inside
114,1372,overlap
115,246,inside
115,948,overlap
115,1372,overlap
115,1448,inside
116,306,overlap
117,1459,overlap
118,679,overlap
118,904,overlap
119,113,overlap
120,130,overlap
120,1225,overlap
120,1891,inside
121,130,overlap
122,225,overlap
123,249,overlap
123,642,inside
123,1510,overlap
123,1689,inside
124,564,overlap
124,1917,inside
125,3,overlap
125,809,overlap
126,41,overlap
126,986,overlap
127,1024,overlap
127,1398,inside
127,1867,overlap
128,61,overlap
129,61,overlap
129,456,inside
129,672,overlap
130,62,overlap
130,1052,overlap
130,1314,inside
131,76,overlap
132,1211,inside
132,1251,overlap
132,1540,inside
133,132,overlap
133,1619,overlap
134,31,overlap
134,305,overlap
134,1221,inside
134,2010,inside
135,305,overlap
135,1523,overlap
136,136,overlap
136,1119,overlap
136,1813,inside
137,136,overlap
138,567,overlap
138,834,overlap
139,984,overlap
139,2026,overlap
140,260,overlap
140,1753,overlap
141,1153,overlap
142,981,overlap
142,1993,inside
143,296,overlap
144,389,overlap
145,1058,overlap
145,1845,inside
146,248,overlap
146,1980,overlap
147,294,overlap
147,1076,overlap
148,909,overlap
148,1638,overlap
149,640,overlap
149,1287,overlap
150,73,overlap
151,868,overlap
151,1301,overlap
151,1957,inside
152,215,overlap
153,874,overlap
154,1083,overlap
155,251,overlap
155,482,inside
155,1728,inside
156,360,overlap
156,1808,overlap
157,231,overlap
158,165,overlap
158,2004,overlap
159,165,overlap
159,1554,overlap
160,630,inside
161,315,inside
161,1206,inside
161,1637,inside
162,403,overlap
162,524,overlap
163,524,overlap
163,1629,overlap
164,666,overlap
165,1291,overlap
166,880,overlap
167,880,overlap
167,1160,overlap
168,991,overlap
168,1824,overlap
169,712,overlap
170,649,overlap
170,1313,overlap
171,174,overlap
172,529,overlap
173,142,overlap
173,529,overlap
174,340,overlap
175,481,overlap
175,820,overlap
176,414,overlap
177,487,overlap
177,1331,overlap
178,321,overlap
179,615,overlap
179,1491,overlap
180,884,overlap
181,719,overlap
182,690,inside
182,1264,overlap
182,1472,inside
183,505,overlap
184,954,overlap
185,1113,overlap
186,521,overlap
187,650,overlap
188,60,overlap
189,662,overlap
190,304,overlap
190,1610,inside
191,422,overlap
192,1231,overlap
192,1933,inside
193,536,overlap
194,541,inside
194,695,inside
194,903,overlap
195,1237,overlap
196,137,overlap
197,137,overlap
197,647,overlap
198,185,overlap
198,739,overlap
199,185,overlap
199,203,inside
200,889,overlap
201,258,overlap
201,1404,overlap
202,372,overlap
202,895,overlap
203,423,overlap
203,1901,overlap
204,958,overlap
205,291,overlap
206,562,overlap
206,714,overlap
207,64,overlap
207,714,overlap
208,767,overlap
208,1502,overlap
208,1671,inside
209,658,overlap
210,279,overlap
210,633,overlap
211,279,overlap
211,766,overlap
212,343,overlap
212,1216,overlap
212,1349,inside
212,1690,inside
212,1797,inside
213,208,overlap
213,1216,overlap
214,194,overlap
215,331,overlap
216,1063,inside
216,1723,overlap
217,473,overlap
217,845,overlap
218,431,overlap
218,1781,inside
218,1982,inside
219,892,overlap
220,939,overlap
221,72,overlap
222,87,overlap
223,49,inside
223,87,overlap
224,696,overlap
224,1275,overlap
225,696,overlap
225,1498,overlap
226,211,overlap
226,1674,overlap
227,1297,overlap
227,1316,overlap
228,271,overlap
228,1876,overlap
229,271,overlap
230,254,overlap
230,2044,inside
231,254,overlap
232,86,overlap
233,1193,overlap
234,706,overlap
234,1750,overlap
235,145,overlap
236,475,overlap
236,2014,overlap
237,537,overlap
238,1553,overlap
239,409,overlap
239,1154,overlap
240,1166,inside
240,1700,inside
241,779,overlap
241,1944,overlap
242,1340,overlap
242,1493,overlap
243,241,overlap
243,763,inside
244,635,overlap
244,1401,inside
245,104,overlap
245,149,overlap
246,176,overlap
246,735,overlap
246,1860,inside
247,735,overlap
248,26,overlap
248,1948,inside
249,26,overlap
250,323,overlap
250,1167,overlap
251,341,overlap
251,1121,overlap
252,292,inside
252,911,overlap
253,862,overlap
254,542,overlap
254,1071,overlap
255,386,overlap
256,622,overlap
256,1541,overlap
257,622,overlap
257,1234,overlap
258,219,overlap
258,1093,overlap
258,1755,inside
259,355,overlap
259,993,overlap
259,1309,inside
260,757,overlap
261,925,overlap
261,1217,overlap
262,761,overlap
263,307,overlap
264,339,overlap
265,339,overlap
265,2034,overlap
266,721,overlap
266,736,inside
267,611,inside
268,42,overlap
268,632,overlap
268,1177,inside
269,42,overlap
269,1892,inside
270,673,overlap
271,673,overlap
272,501,overlap
272,1035,overlap
273,847,overlap
274,441,inside
274,1423,overlap
275,1988,inside
276,937,overlap
276,1737,overlap
277,1049,overlap
277,1793,overlap
278,14,overlap
279,14,overlap
279,1369,overlap
280,1489,overlap
281,502,overlap
282,860,overlap
282,1804,overlap
283,466,overlap
284,205,inside
284,1497,overlap
285,503,overlap
285,1568,overlap
286,742,overlap
287,217,overlap
287,1229,inside
288,259,overlap
289,346,overlap
289,351,inside
289,878,overlap
290,950,overlap
291,97,overlap
292,206,overlap
292,1457,inside
292,1608,overlap
292,1732,inside
293,206,overlap
294,798,overlap
294,1144,overlap
294,1946,inside
294,1954,inside
295,428,overlap
296,786,overlap
296,1989,inside
296,2005,overlap
297,657,inside
298,135,overlap
298,1530,overlap
299,667,overlap
300,1452,overlap
301,405,overlap
302,220,overlap
303,220,overlap
303,2001,overlap
304,429,overlap
304,803,overlap
305,1659,inside
305,1888,inside
306,465,overlap
306,493,overlap
306,1855,inside
307,465,overlap
307,850,overlap
308,350,inside
308,648,overlap
308,711,overlap
308,1485,inside
308,1805,inside
308,1875,inside
309,648,overlap
310,65,overlap
311,391,overlap
312,498,overlap
313,1075,overlap
313,1337,overlap
314,949,overlap
315,181,overlap
315,1385,overlap
316,1399,overlap
317,893,overlap
317,1396,overlap
318,558,overlap
318,1086,overlap
319,558,overlap
320,455,inside
320,1039,overlap
321,879,overlap
322,694,overlap
323,191,overlap
323,655,overlap
324,910,overlap
325,753,inside
325,1838,overlap
326,691,overlap
327,691,overlap
328,93,overlap
329,940,overlap
330,368,overlap
331,218,overlap
331,381,overlap
332,936,inside
332,955,overlap
332,1752,overlap
332,1994,inside
333,955,overlap
334,43,overlap
335,43,overlap
335,286,overlap
335,1500,inside
335,2043,inside
336,119,overlap
337,1198,overlap
338,25,overlap
339,388,overlap
339,976,inside
339,1699,inside
340,324,overlap
340,967,overlap
341,324,overlap
341,353,inside
341,1571,overlap
342,107,overlap
342,112,overlap
343,112,overlap
344,643,inside
344,858,overlap
344,1580,overlap
345,497,overlap
345,1405,overlap
346,90,inside
346,1790,inside
347,408,overlap
348,626,overlap
349,432,overlap
349,2035,inside
349,2045,inside
350,527,inside
350,1388,overlap
351,199,overlap
352,168,overlap
353,280,overlap
353,1364,inside
354,59,overlap
354,1942,overlap
355,59,overlap
355,1434,inside
356,641,overlap
356,770,inside
357,930,overlap
358,380,overlap
358,1789,inside
359,573,overlap
359,752,overlap
360,345,overlap
361,973,inside
361,1284,overlap
361,2030,inside
362,1016,inside
362,1787,inside
362,1905,inside
363,22,overlap
363,1721,overlap
364,1210,overlap
364,1245,inside
365,723,inside
365,1735,overlap
365,1990,overlap
366,105,overlap
366,1310,inside
366,1478,inside
367,402,overlap
367,977,overlap
368,775,overlap
368,943,overlap
369,943,overlap
370,178,overlap
371,239,overlap
371,685,overlap
